Year,Month,ProductCategory,Sales(In ThousandDollars),No.of Holidays,Avg GDP Index,WeatherEvents
2011,5,WomenClothing,3340,2,14990.964,11
2011,5,MenClothing,677,2,14990.964,11
2011,5,OtherClothing,1027,2,14990.964,11
2011,6,WomenClothing,3232,1,14927.333,9
2011,6,MenClothing,0,1,14927.333,9
2011,6,OtherClothing,0,1,14927.333,9
2011,7,WomenClothing,2896,1,15011.761,9
2011,7,MenClothing,587,1,15011.761,9
2011,7,OtherClothing,985,1,15011.761,9
2011,8,WomenClothing,3245,0,15085.229,13
2011,8,MenClothing,549,0,15085.229,13
2011,8,OtherClothing,1001,0,15085.229,13
2011,9,WomenClothing,3182,1,14966.823,11
2011,9,MenClothing,643,1,14966.823,11
2011,9,OtherClothing,930,1,14966.823,11
2011,10,WomenClothing,0,2,15249.763,11
2011,10,MenClothing,682,2,15249.763,11
2011,10,OtherClothing,1020,2,15249.763,11
2011,11,WomenClothing,3499,2,15172.693,9
2011,11,MenClothing,707,2,15172.693,9
2011,11,OtherClothing,1147,2,15172.693,9
2011,12,WomenClothing,4775,4,15148.822,10
2011,12,MenClothing,1081,4,15148.822,10
2011,12,OtherClothing,1596,4,15148.822,10
2012,1,WomenClothing,2287,3,15226.205,21
2012,1,MenClothing,525,3,15226.205,21
2012,1,OtherClothing,1039,3,15226.205,21
2012,2,WomenClothing,2800,2,15385.847,18
2012,2,MenClothing,545,2,15385.847,18
2012,2,OtherClothing,0,2,15385.847,18
2012,3,WomenClothing,3566,0,15261.341,19
2012,3,MenClothing,623,0,15261.341,19
2012,3,OtherClothing,1229,0,15261.341,19
2012,4,WomenClothing,3724,1,15340.654,19
2012,4,MenClothing,711,1,15340.654,19
2012,4,OtherClothing,1136,1,15340.654,19
2012,5,WomenClothing,3800,2,15354.651,15
2012,5,MenClothing,725,2,15354.651,15
2012,5,OtherClothing,1155,2,15354.651,15
2012,6,WomenClothing,3086,1,15392.249,19
2012,6,MenClothing,703,1,15392.249,19
2012,6,OtherClothing,1205,1,15392.249,19
2012,7,WomenClothing,2877,1,15433.37,20
2012,7,MenClothing,613,1,15433.37,20
2012,7,OtherClothing,1049,1,15433.37,20
2012,8,WomenClothing,3059,0,15317.424,23
2012,8,MenClothing,0,0,15317.424,23
2012,8,OtherClothing,1124,0,15317.424,23
2012,9,WomenClothing,0,1,15391.877,22
2012,9,MenClothing,687,1,15391.877,22
2012,9,OtherClothing,1045,1,15391.877,22
2012,10,WomenClothing,3168,2,15292.35,18
2012,10,MenClothing,710,2,15292.35,18
2012,10,OtherClothing,1158,2,15292.35,18
2012,11,WomenClothing,3558,3,15362.098,24
2012,11,MenClothing,731,3,15362.098,24
2012,11,OtherClothing,1252,3,15362.098,24
2012,12,WomenClothing,4824,3,15498.652,13
2012,12,MenClothing,1080,3,15498.652,13
2012,12,OtherClothing,1475,3,15498.652,13
2013,1,WomenClothing,2320,2,15554.427,20
2013,1,MenClothing,599,2,15554.427,20
2013,1,OtherClothing,1036,2,15554.427,20
2013,2,WomenClothing,2872,2,15435.675,14
2013,2,MenClothing,560,2,15435.675,14
2013,2,OtherClothing,1144,2,15435.675,14
2013,3,WomenClothing,3687,1,15485.738,20
2013,3,MenClothing,682,1,15485.738,20
2013,3,OtherClothing,1346,1,15485.738,20
2013,4,WomenClothing,3883,0,15529.836,20
2013,4,MenClothing,718,0,15529.836,20
2013,4,OtherClothing,1188,0,15529.836,20
2013,5,WomenClothing,4170,2,15450.319,20
2013,5,MenClothing,749,2,15450.319,20
2013,5,OtherClothing,1194,2,15450.319,20
2013,6,WomenClothing,3360,1,15584.748,15
2013,6,MenClothing,678,1,15584.748,15
2013,6,OtherClothing,1261,1,15584.748,15
2013,7,WomenClothing,3320,1,15606.008,17
2013,7,MenClothing,648,1,15606.008,17
2013,7,OtherClothing,1126,1,15606.008,17
2013,8,WomenClothing,3539,0,15673.44,20
2013,8,MenClothing,687,0,15673.44,20
2013,8,OtherClothing,1311,0,15673.44,20
2013,9,WomenClothing,3720,1,15644.832,23
2013,9,MenClothing,681,1,15644.832,23
2013,9,OtherClothing,1043,1,15644.832,23
2013,10,WomenClothing,3590,2,15729.959,25
2013,10,MenClothing,785,2,15729.959,25
2013,10,OtherClothing,0,2,15729.959,25
2013,11,WomenClothing,3834,2,15841.759,20
2013,11,MenClothing,798,2,15841.759,20
2013,11,OtherClothing,1209,2,15841.759,20
2013,12,WomenClothing,4865,3,15810.41,20
2013,12,MenClothing,1085,3,15810.41,20
2013,12,OtherClothing,1566,3,15810.41,20
2014,1,WomenClothing,2961,2,15705.973,21
2014,1,MenClothing,573,2,15705.973,21
2014,1,OtherClothing,1172,2,15705.973,21
2014,2,WomenClothing,3381,2,15762.599,17
2014,2,MenClothing,636,2,15762.599,17
2014,2,OtherClothing,1123,2,15762.599,17
2014,3,WomenClothing,4268,0,15804.519,23
2014,3,MenClothing,702,0,15804.519,23
2014,3,OtherClothing,1293,0,15804.519,23
2014,4,WomenClothing,4223,2,15870.178,18
2014,4,MenClothing,785,2,15870.178,18
2014,4,OtherClothing,1196,2,15870.178,18
2014,5,WomenClothing,4421,2,15946.741,19
2014,5,MenClothing,801,2,15946.741,19
2014,5,OtherClothing,1257,2,15946.741,19
2014,6,WomenClothing,3905,1,15990.977,20
2014,6,MenClothing,702,1,15990.977,20
2014,6,OtherClothing,0,1,15990.977,20
2014,7,WomenClothing,3733,1,16089.499,20
2014,7,MenClothing,655,1,16089.499,20
2014,7,OtherClothing,1175,1,16089.499,20
2014,8,WomenClothing,4067,0,16196.42,25
2014,8,MenClothing,692,0,16196.42,25
2014,8,OtherClothing,1337,0,16196.42,25
2014,9,WomenClothing,4481,1,16133.049,23
2014,9,MenClothing,0,1,16133.049,23
2014,9,OtherClothing,1056,1,16133.049,23
2014,10,WomenClothing,4434,2,16196.814,17
2014,10,MenClothing,757,2,16196.814,17
2014,10,OtherClothing,1153,2,16196.814,17
2014,11,WomenClothing,4525,2,16243.055,20
2014,11,MenClothing,803,2,16243.055,20
2014,11,OtherClothing,1468,2,16243.055,20
2014,12,WomenClothing,5664,3,16221.18,14
2014,12,MenClothing,1070,3,16221.18,14
2014,12,OtherClothing,1967,3,16221.18,14
