Year,MonthDate,Event,DayCategory
2015,01/01,New Year's Day,Federal Holiday
2015,01/19,Martin Luther King Jr. Day,Federal Holiday
2015,02/14,Valentine's Day,Event
2015,02/16,Presidents' Day,Federal Holiday
2015,04/05,Easter Sunday,Event
2015,04/13,Thomas Jefferson's Birthday,Event
2015,05/10,Mother's Day,Event
2015,05/25,Memorial Day,Federal Holiday
2015,06/21,Father's Day,Event
2015,07/03,'Independence Day' observed,Federal Holiday
2015,07/04,Independence Day,Federal Holiday
2015,09/07,Labor Day,Federal Holiday
2015,10/12,Columbus Day (Most regions),Federal Holiday
2015,10/31,Halloween,Event
2015,11/11,Veterans Day,Federal Holiday
2015,11/26,Thanksgiving Day,Federal Holiday
2015,12/24,Christmas Eve,Event
2015,12/25,Christmas Day,Federal Holiday
2015,12/26,Day After Christmas Day,Event
2015,12/31,New Year's Eve,Event
2016,01/01,New Year's Day,Federal Holiday
2016,01/18,Martin Luther King Jr. Day,Federal Holiday
2016,02/14,Valentine's Day,Event
2016,02/15,Presidents' Day,Federal Holiday
2016,03/27,Easter Sunday,Event
2016,04/13,Thomas Jefferson's Birthday,Event
2016,05/08,Mother's Day,Event
2016,05/30,Memorial Day,Federal Holiday
2016,06/19,Father's Day,Event
2016,07/04,Independence Day,Federal Holiday
2016,09/05,Labor Day,Federal Holiday
2016,10/10,Columbus Day (Most regions),Federal Holiday
2016,10/31,Halloween,Event
2016,11/08,Election Day,Event
2016,11/11,Veterans Day,Federal Holiday
2016,11/24,Thanksgiving Day,Federal Holiday
2016,12/24,Christmas Eve,Event
2016,12/25,Christmas Day,Federal Holiday
2016,12/26,'Christmas Day' observed,Federal Holiday
2016,12/31,New Year's Eve,Event
